date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,Marketplace Facilitator Tax,selling fees,fba fees,other transaction fees,other,total
"Apr 1, 2017 12:04:28 AM PDT",6325562281,Order,107-5364316-7128212,DMBLDR-FOR,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Forest",1,amazon.com,Amazon,DUBLIN,CA,94568-3515,8.79,0,0,0,0,0,-1.32,-2.41,0,0,5.06
"Apr 1, 2017 12:39:01 AM PDT",6325562281,Order,114-2744322-4341827,58-P5NK-DFU6,"GMDdecals Dr Seuss Quotes LARGE Assorted Sayings Vinyl Stairs or Wall Decal [GLOSSY BLACK]- 24"" wide by 2-4"" tall for EACH quote -Adhesive High Glossy",1,amazon.com,Amazon,WATERFORD,NY,12188-2430,24.99,0,0,0,0,0,-3.75,-2.99,0,0,18.25
"Apr 1, 2017 1:24:13 AM PDT",6325562281,Order,104-2595807-8539431,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Amazon,BLOOMINGTON,MN,55438-2269,16.99,0,0,0,0,0,-2.55,-2.99,0,0,11.45
"Apr 1, 2017 6:07:01 AM PDT",6325562281,Transfer,,,"To your account ending in: 9429, Federal ACH Trace ID: 091000018513658",,,,,,,0,0,0,0,0,0,0,0,0,-704.21,-704.21
"Apr 1, 2017 9:13:51 AM PDT",6325562281,Order,114-0420095-0603431,LevioSA-SIL,"GMDdecals Inspirational Wizard Hermione Harry Potter LevioSA Spell Inspirational Hogwarts Quote Vinyl Wall Decor Decal [GLOSSY SILVER]- 28"" x 12"" -Adh",1,amazon.com,Amazon,Franklin Lakes,NJ,7417,16.99,0,0,0,0,0,-2.55,-2.99,0,0,11.45
"Apr 1, 2017 9:36:39 AM PDT",6325562281,Order,112-4527265-8429051,Q3-VFIZ-UBPY,Alice Story Book Quote Set Vinyl Stairs or Wall Decal [Black] Cheshire Cat Qu...,1,amazon.com,Amazon,TYLER,TX,75706-3225,28.99,0,0,0,0,0,-4.35,-2.99,0,0,21.65
"Apr 1, 2017 2:08:10 PM PDT",6325562281,Refund,113-2398974-4549827,Q3-VFIZ-UBPY,Alice Story Book Quote Set Vinyl Stairs or Wall Decal [Black] Cheshire Cat Qu...,1,amazon.com,Amazon,RENO,NV,89509-1926,-24.99,0,0,0,0,0,3,0,0,0,-21.99
"Apr 1, 2017 2:19:07 PM PDT",6325562281,Order,114-3995820-4813006,LOVECOFFEE-MAR,"GMDdecals® Love and Coffee Inspired Quote Décor Wall Decal [MAROON] - 12"" x 24"" - Adhesive High Glossy Vinyl [3mil] **Made In USA** (Home Welcome Hous",1,amazon.com,Amazon,STERLING,IL,61081-1264,14.99,0,0,0,0,0,-2.25,-2.99,0,0,9.75
"Apr 1, 2017 3:19:05 PM PDT",6325562281,Order,112-7661849-7699448,58-P5NK-DFU6,"GMDdecals Dr Seuss Quotes LARGE Assorted Sayings Vinyl Stairs or Wall Decal [GLOSSY BLACK]- 24"" wide by 2-4"" tall for EACH quote -Adhesive High Glossy",1,amazon.com,Amazon,OXFORD,PA,19363-4236,24.99,0,0,0,0,0,-3.75,-2.99,0,0,18.25
"Apr 1, 2017 9:56:53 PM PDT",6325562281,Adjustment,,DMBLDR-LIM,FBA Inventory Reimbursement - Lost:Warehouse,1,,,,,,0,0,0,0,0,0,0,0,0,5.5,5.5
