date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Aug 1, 2017 11:00:28 AM PDT",6415567061,Transfer,,,"To your account ending in: 894, Federal ACH Trace ID: 091000016515151",,,,,,,0,0,0,0,0,0,0,0,-252.61,-252.61
"Aug 1, 2017 12:20:09 PM PDT",6415567061,Order,114-0921858-4114649,LevioSA-BLK,"Hermione Harry Potter Inspired LevioSA Spell Hogwarts Quote Vinyl Wall Decal [BLACK] by GMDdecals 28"" x 12"" Hogwarts Spell Wizard Storybook Decor",1,amazon.com,Amazon,HARBOR SPRINGS,MI,49740-8778,16,0,0,0,0,-2.4,-2.99,0,0,10.61
"Aug 1, 2017 12:21:54 PM PDT",6415567061,Order,112-3686724-6455453,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,Monticello,NY,12701,18,0,0,0,0,-2.7,-2.99,0,0,12.31
"Aug 1, 2017 5:36:06 PM PDT",6415567061,Order,111-0845361-7893012,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,ALEXANDRIA,VA,22304-1924,18,0,0,0,0,-2.7,-2.99,0,0,12.31
"Aug 1, 2017 6:16:27 PM PDT",6415567061,Order,113-9222773-9832218,WIZOZSET-BLK,Wizard of Oz Quotes Assorted Sayings Vinyl Wall Decal or Stairs Decal Dorothy...,1,amazon.com,Amazon,BATH,NY,14810-9415,32,0,0,0,0,-4.8,-2.99,0,0,24.21
"Aug 1, 2017 10:02:00 PM PDT",6415567061,Order,114-4525149-0251407,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,Fort Worth,TX,76108,18,0,0,0,0,-2.7,-2.99,0,0,12.31
"Aug 1, 2017 11:17:20 PM PDT",6415567061,Order,111-8479253-6900227,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,EL PASO,TEXAS,79924-2333,18,0,0,0,0,-2.7,-2.99,0,0,12.31
"Aug 1, 2017 11:51:28 PM PDT",6415567061,Order,113-3165859-0196258,Q3-VFIZ-UBPY,"Alice In Wonderland Story Book Quote Set Vinyl Stair or Wall Decals [BLACK] by GMDdecals 24"" x 2-4"" per quote Cheshire Mad Hatter Storybook Decor",1,amazon.com,Amazon,KELLYTON,AL,35089-2827,32,0,0,0,0,-4.8,-2.99,0,0,24.21
"Aug 2, 2017 12:19:11 AM PDT",6415567061,Order,113-6745444-9069864,HPQUOTESET-BLK,"Hogwarts Set of 12 Quotes Harry Potter Inspired Vinyl Wall or Stairs Decals [BLACK] by GMDdecals Dumbledore Sirius Wizard Decor Size 24"" x 2-4"" per qu",1,amazon.com,Amazon,STATESBORO,GA,30458-9126,32,0,0,0,0,-4.8,-2.99,0,0,24.21
"Aug 2, 2017 1:32:25 PM PDT",6415567061,Order,113-6635958-5696247,LOVECOFFEE-BRW,"GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BROWN]- 12"" x 24"" - Adhesive High Glossy VinylMade In USA (Suggested: Home Welcome Housewar",1,amazon.com,Amazon,BALLSTON LAKE,NY,12019-2708,16,0,0,0,0,-2.4,-2.99,0,0,10.61
"Aug 2, 2017 5:03:41 PM PDT",6415567061,Transfer,,,"To your account ending in: 894, Federal ACH Trace ID: 091000013074791",,,,,,,0,0,0,0,0,0,0,0,-819.83,-819.83
"Aug 2, 2017 8:42:28 PM PDT",6415567061,Refund,114-0301629-1158634,FAITHPOS-BLK,GMDdecals Anything is Possible Faith Luke Bible Scripture Quote Vinyl Wall Decor Decals [GLOSSY BLACK]- 36 inches x 12 inches -Adhesive High Glossy Vi,1,amazon.com,Amazon,Chicago,Illinois,60651,-16,0,0,0,0,1.92,0,0,0,-14.08
"Aug 2, 2017 9:32:37 PM PDT",6415567061,Service Fee,,,Cost of Advertising,,,,,,,0,0,0,0,0,0,0,-92.8,0,-92.8
"Aug 2, 2017 9:38:14 PM PDT",6415567061,Order,112-8307791-8811444,6B-1I40-D1SR,Personalized Good and Perfect Gift From Above Vinyl Wall Decal Name Initial J...,1,amazon.com,Seller,SOUTH SAN FRANCISCO,CA,94080-4030,16.99,0,0,0,0,-2.55,0,0,0,14.44
"Aug 2, 2017 9:38:17 PM PDT",6415567061,Order,114-8100545-8753831,HAGRID-TUR,"Hagrid Harry Potter Inspired What's Comin Will Come Quote Vinyl Wall Decal [TURQUOISE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook Decor",1,amazon.com,Seller,ALEXANDRIA,VA,22304-1924,16,0,0,0,0,-2.4,0,0,0,13.6
"Aug 2, 2017 9:38:32 PM PDT",6415567061,Order,112-0848090-8233860,SN-31GR-ZWSC,Movie Quote Set LARGE Assorted Sayings Vinyl Stairs or Wall Decal [BLACK] Film Cinema Classic Famous Inspiring Home Décor Welcome Housewarming Wedding,1,amazon.com,Seller,CLIFTON,NJ,07013-1944,32,0,0,0,0,-4.8,0,0,0,27.2
"Aug 2, 2017 10:42:08 PM PDT",6415567061,Order,112-3264605-1807445,ALICEQUOTES-BLK,"Alice In Wonderland Story Book Quote Set Vinyl Stair or Wall Decals [BLACK] by GMDdecals 24"" x 2-4"" per quote Cheshire Mad Hatter Storybook Decor",1,amazon.com,Amazon,NEW BRAUNFELS,TX,78132-4309,32,0,0,0,0,-4.8,-2.99,0,0,24.21
"Aug 3, 2017 2:20:09 AM PDT",6415567061,Order,112-9351076-3837065,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,MIDDLETOWN,OH,45044-6604,18,0,0,0,0,-2.7,-2.99,0,0,12.31
"Aug 3, 2017 2:32:42 AM PDT",6415567061,Order,114-4172826-6199430,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,STERLING HEIGHTS,MI,48310-4384,18,0,0,0,0,-2.7,-2.99,0,0,12.31
"Aug 3, 2017 7:33:08 AM PDT",6415567061,Order,111-9461596-2009827,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,THORNTON,CO,80233-5541,18,0,0,0,0,-2.7,-2.99,0,0,12.31
"Aug 3, 2017 9:04:43 AM PDT",6415567061,Order,114-4066778-3311407,DRWHOBOOKS-NVY,"DW Inspired Books are Weapons Quote [BLUE] Vinyl Wall Decal by GMDdecals 30"" x 12"" Dr Doctor inspirational Who Fandom Library Reading Gift Decor",1,amazon.com,Amazon,DENTON,TX,76201-0703,16,2.54,0,0,0,-2.4,-5.53,0,0,10.61
"Aug 3, 2017 12:54:57 PM PDT",6415567061,Order,114-5181938-1725813,TY-G6HM-37AR,Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift,1,amazon.com,Seller,GRANBY,MA,01033-9540,42,0,0,0,0,-6.3,0,0,0,35.7
"Aug 3, 2017 12:54:57 PM PDT",6415567061,Order,113-0258586-9369832,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Seller,HOPKINSVILLE,KY,42240-4890,18,0,0,0,0,-2.7,0,0,0,15.3
"Aug 3, 2017 12:54:58 PM PDT",6415567061,Order,111-9575688-1389812,LTDKSIRIUS-WHT,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [WHITE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Seller,PLANT CITY,FL,33566-9618,18,0,0,0,1.26,-2.7,0,-0.04,0,16.52
"Aug 3, 2017 12:54:58 PM PDT",6415567061,Order,111-2421891-0265008,96-3YGZ-59C7,"Ministry of Magic Harry Potter Inspired Bathroom Toilet Vinyl Wall Decals [BLACK/GOLD] by GMDdecals 10"" x 11"" Hogwarts Spell Wizard Storybook Décor",1,amazon.com,Seller,SAN ANTONIO,TX,78255-1200,12,0,0,0,0,-1.8,0,0,0,10.2
"Aug 3, 2017 12:54:59 PM PDT",6415567061,Order,114-6228415-9115426,LevioSA-PUR,"Hermione Harry Potter Inspired LevioSA Spell Hogwarts Quote Vinyl Wall Decal [PURPLE] by GMDdecals 28"" x 12"" Hogwarts Spell Wizard Storybook Decor",1,amazon.com,Seller,WEST CHESTER,PA,19380-1772,16,0,0,0,0,-2.4,0,0,0,13.6
