"date.time","settlement.id","type","order.id","sku","description","quantity","marketplace","fulfillment","order.city","order.state","order.postal","product.sales","shipping.credits","gift.wrap.credits","promotional.rebates","sales.tax.collected","selling.fees","fba.fees","other.transaction.fees","other","total"
"Dec 1, 2017 12:00:37 AM PST",6511854491,"Order","112-0168197-3183406","UNLESS-NVY","UNLESS Dr Seuss Inspired Quote Vinyl Wall Decal [NAVY] by GMDdecals Lorax Truffula Trees Design 28"" x 12"" Children Bedroom Cat in the Hat Nursery Deco",1,"amazon.com","Amazon","MIDLOTHIAN","VA","23112-6387",16,0,0,0,0,-2.4,-2.88,0,"0","10.72"
"Dec 1, 2017 12:02:44 AM PST",6511854491,"Order","111-8599895-2520225","DRWHOSET-BLK","Quote Set [BLACK] Large Vinyl Wall Stairs Decal by GMDdecals ONEliners Collection? 24"" x 2-4"" EACH QUOTE Dr Who Inspired Tardis Dalek Décor",1,"amazon.com","Amazon","BLOOMINGTON","IN","47401-7430",38,0,0,0,0,-5.7,-2.88,0,"0","29.42"
"Dec 1, 2017 12:09:30 AM PST",6511854491,"Order","111-0346893-8007448","SHAKEQUOTESET-BLK","Shakespeare Literature Quotes Large Set [BLACK] Vinyl Wall or Stair Decals by GMDdecals 24 x 2-4 inches per quote William play poet gift decor",1,"amazon.com","Amazon","OSAGE","IA","50461-1118",38,0,0,0,0,-5.7,-2.88,0,"0","29.42"
"Dec 1, 2017 12:29:46 AM PST",6511854491,"Order","112-3352681-3761838","LevioSA-BLK","Hermione Harry Potter Inspired LevioSA Spell Hogwarts Quote Vinyl Wall Decal [BLACK] by GMDdecals 28"" x 12"" Hogwarts Spell Wizard Storybook Decor",1,"amazon.com","Amazon","Vienna","VA","22180",18,0,0,0,0,-2.7,-2.88,0,"0","12.42"
"Dec 1, 2017 1:48:49 AM PST",6511854491,"Order","114-4026741-4129048","LTDKSIRIUS-TUR","Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [TURQUOISE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storyb",1,"amazon.com","Amazon","Cincinnati","OH","45230",18,0,0,0,0,-2.7,-2.88,0,"0","12.42"
"Dec 1, 2017 3:50:43 AM PST",6511854491,"Order","112-1727461-9252243","LOVECOFFEEES-BLK","El amor y el café inspried Cita de decoración de la pared Decal [NEGRO] - 12inches x 24 pulgadas - Vinilo adhesivo brillante [3mil] Fácil aplicación,",1,"amazon.com","Amazon","EDWARDS","CA","93523-2624",16,0,0,0,0,-2.4,-2.88,0,"0","10.72"
"Dec 1, 2017 4:36:12 AM PST",6511854491,"Order","112-8413909-3450610","RZ-0CIF-6XJD","Wizard of Oz Assorted Quotes Set [BLACK] Vinyl Stairs or Wall Decal by GMDdecals Dorothy Baum Room Party Housewarming Gift Home Decor",1,"amazon.com","Amazon","GRASONVILLE","MD","21638-1056",38,0,0,0,0,-5.7,-2.88,0,"0","29.42"
"Dec 1, 2017 7:37:14 AM PST",6511854491,"Refund","113-1817561-9943444","LOVEANCHOR-BLKNVY","Love Is the Anchor Quote [Black/Navy] Vinyl Wall Decal by GMDdecals 32 x 12 inch Love Nautical Anniversary Gift Bedroom Home Décor",1,"amazon.com","Amazon","LARGO","MD","20774-1146",-16,0,0,0,0,1.92,0,0,"0","-14.08"
"Dec 1, 2017 10:09:52 AM PST",6511854491,"Order","114-7238545-8130605","DMBLDR-BLK","GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,"amazon.com","Amazon","FRISCO","TX","75035-1212",18,0,0,0,0,-2.7,-2.88,0,"0","12.42"
"Dec 1, 2017 11:58:15 AM PST",6511854491,"Order","113-8102498-6637068","DMBLDR-PUR","Dumbledore Harry Potter Inspired Our Choices Show Who We Really Are Quote Vinyl Wall Decal [PURPLE] by GMDdecals 28"" x 12"" Hogwarts Spell Wizard Story",1,"amazon.com","Amazon","HOLLADAY","UT","84117-5395",20,0,0,0,0,-3,-2.88,0,"0","14.12"
"Dec 1, 2017 12:51:27 PM PST",6511854491,"Order","111-0014691-1750613","CUR&CURBLK","Curiouser and Curiouser Alice In Wonderland Inspired Cheshire Cat Quote Vinyl Wall Decal [BLACK] by GMDdecals Size 24"" x 10"" Mad Hatter Storybook Déco",1,"amazon.com","Amazon","KIRKSVILLE","MO","63501-6832",14,3.99,0,0,0,-2.1,-6.87,0,"0","9.02"
"Dec 1, 2017 1:18:50 PM PST",6511854491,"Order","111-5919404-6661801","DRWHOBOOKS-BLK","DW Inspired Books are Weapons Quote [BLACK] Vinyl Wall Decal by GMDdecals 30"" x 12"" Dr Doctor inspirational Who Fandom Library Reading Gift Decor",1,"amazon.com","Amazon","SAINT LOUIS","MO","63102-1299",16,2.56,0,-2.56,0,-2.4,-2.88,0,"0","10.72"
"Dec 1, 2017 1:24:21 PM PST",6511854491,"Order","112-0925515-2946665","BQ-X7JH-BJSL","Movie Quote Set LARGE Assorted Sayings Vinyl Stairs or Wall Decal [BLACK] Film Cinema Classic Famous Inspiring Home Décor Welcome Housewarming Wedding",1,"amazon.com","Amazon","NORTH MERRICK","NY","11566-2463",38,0,0,0,0,-5.7,-2.88,0,"0","29.42"
"Dec 1, 2017 2:32:02 PM PST",6514902161,"Order","114-6065600-0872260","Q3-VFIZ-UBPY","Alice In Wonderland Story Book Quote Set Vinyl Stair or Wall Decals [BLACK] by GMDdecals 24"" x 2-4"" per quote Cheshire Mad Hatter Storybook Décor",1,"amazon.com","Amazon","PUTNAM STATION","NY","12861",38,0,0,0,0,-5.7,-2.88,0,"0","29.42"
"Dec 1, 2017 2:37:52 PM PST",6514902161,"Order","114-7480626-6574630","DMBLDR-BLK","GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,"amazon.com","Amazon","MINNETRISTA","MN","55364-8602",18,0,0,0,0,-2.7,-2.88,0,"0","12.42"
"Dec 1, 2017 2:40:42 PM PST",6514902161,"Order","111-6909869-4899452","LOVEANCHOR-BLKNVY","Love Is the Anchor Quote [Black/Navy] Vinyl Wall Decal by GMDdecals 32 x 12 inch Love Nautical Anniversary Gift Bedroom Home Décor",1,"amazon.com","Amazon","EL CAJON","CA","92021-2685",16,2.6,0,-2.6,0,-2.4,-2.88,0,"0","10.72"
"Dec 1, 2017 2:41:57 PM PST",6514902161,"Order","114-4516908-1345012","SHAKEQUOTESET-BLK","Shakespeare Literature Quotes Large Set [BLACK] Vinyl Wall or Stair Decals by GMDdecals 24 x 2-4 inches per quote William play poet gift decor",1,"amazon.com","Amazon","CHELMSFORD","MA","01824-4540",38,6.65,0,0,0,-5.7,-9.53,0,"0","29.42"
"Dec 1, 2017 2:47:49 PM PST",6514902161,"Order","113-6807873-6642608","LOVECOFFEEES-BLK","El amor y el café inspried Cita de decoración de la pared Decal [NEGRO] - 12inches x 24 pulgadas - Vinilo adhesivo brillante [3mil] Fácil aplicación,",1,"amazon.com","Amazon","WHARTON","NJ","07885-1817",16,6.5,0,0,0,-2.4,-9.38,0,"0","10.72"
"Dec 1, 2017 4:38:59 PM PST",6514902161,"Order","112-3167745-0489864","DRWHOBOOKS-BLK","DW Inspired Books are Weapons Quote [BLACK] Vinyl Wall Decal by GMDdecals 30"" x 12"" Dr Doctor inspirational Who Fandom Library Reading Gift Decor",1,"amazon.com","Amazon","GRANITE FALLS","WA","98252-8793",16,1,0,-1,0,-2.4,-2.88,0,"0","10.72"
"Dec 1, 2017 4:52:18 PM PST",6514902161,"Order","113-9555342-6152228","0Z-0D15-Y80E","Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift",1,"amazon.com","Amazon","AUSTIN","TX","78726-4230",42,0,0,0,0,-6.3,-2.88,0,"0","32.82"
"Dec 1, 2017 5:09:31 PM PST",6514902161,"Order","112-1740043-5233841","DMBLDR-BLK","GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,"amazon.com","Amazon","NORTH OLMSTED","OH","44070-1839",18,0,0,0,0,-2.7,-2.88,0,"0","12.42"
"Dec 1, 2017 8:51:03 PM PST",6514902161,"Order","113-0517743-7381014","DMBLDR-BLK","GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,"amazon.com","Amazon","MEMPHIS","TN","38111-5728",18,0,0,0,0,-2.7,-2.88,0,"0","12.42"
"Dec 1, 2017 9:28:34 PM PST",6514902161,"Order","114-3404499-4443417","WAKEUP","GMDdecals® Inspiring Wake up Every Morning Quote Bedroom Decor Wall Decal [Red & Black]- 12 inches x 20 inches -Adhesive High Glossy Vinyl [3mil] **Ma",1,"amazon.com","Amazon","Randallstown","maryland","21133",16,3.31,0,0,0,-2.4,-6.19,0,"0","10.72"
"Dec 1, 2017 10:57:59 PM PST",6514902161,"Order","112-8268041-2964243","DMBLDR-BLK","GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,"amazon.com","Amazon","Bridgeton","NJ","8302",18,1.07,0,-1.07,0,-2.7,-2.88,0,"0","12.42"
"Dec 1, 2017 11:24:11 PM PST",6514902161,"Order","114-7296728-8827457","JAMES117-PNK","Good and Perfect Gift From Above James 1:17 Scripture Vinyl Wall Decal [Pink] Nursery Décor Baby Newborn Child Bedroom",1,"amazon.com","Amazon","BOWIE","MD","20721-3186",16,0,0,0,0,-2.4,-2.88,0,"0","10.72"
