date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Feb 1, 2017 1:27:56 AM PST",6283320351,Order,109-7190201-3140237,CUR&CURBLK,GMDdecals® Curiouser and Curiouser Alice In Wonderland Quote Decor Wall Decal [Glossy Black]- 24 inches x 10 inches -Adhesive High Glossy Vinyl [3mil],1,amazon.com,Amazon,La Crescent,MN,55947,14.99,0,0,0,0,-2.25,-3.02,0,0,9.72
"Feb 1, 2017 4:07:05 AM PST",6283320351,Transfer,,,"To your account ending in: 9429, Federal ACH Trace ID: 091000014934021",,,,,,,0,0,0,0,0,0,0,0,-618.34,-618.34
"Feb 1, 2017 10:22:10 AM PST",6283320351,Order,112-3276805-6215413,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Amazon,GALLOWAY,OH,43119-8993,18.99,0,0,0,0,-2.85,-3.02,0,0,13.12
"Feb 1, 2017 12:31:53 PM PST",6283320351,Order,113-7497656-0619418,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Seller,MURFREESBORO,TN,37128-5561,18.99,4.54,0,0,0,-3.53,0,0,0,20
"Feb 1, 2017 2:46:51 PM PST",6283320351,Order,111-5072133-5885864,FAITHPOS-WHT,GMDdecals® Anything is Possible Faith Luke Bible Scripture Quote Vinyl Wall Decor Decals [GLOSSY WHITE]- 36 inches x 12 inches -Adhesive High Glossy V,1,amazon.com,Amazon,KINGSLAND,GA,31548-5763,16.99,0,0,0,0,-2.55,-3.02,0,0,11.42
"Feb 1, 2017 5:24:27 PM PST",6283320351,Order,114-2022120-4825869,Q3-VFIZ-UBPY,Alice Story Book Quote Set Vinyl Stairs or Wall Decal [Black] Cheshire Cat Qu...,1,amazon.com,Amazon,OCEAN VIEW,NJ,08230-2301,24.99,0,0,0,0,-3.75,-3.02,0,0,18.22
"Feb 1, 2017 5:32:40 PM PST",6283320351,Order,109-5630660-4236247,SRNTYWIDE-BLK,Serenity Prayer Wide Bible Scripture Quote Vinyl Wall Decal [Black] Bible Scripture Home Décor Welcome Housewarming Wedding Anniversary Birthday Gift,1,amazon.com,Amazon,Bryn Athyn,PA,19009-0903,16.99,0,0,0,0,-2.55,-3.02,0,0,11.42
"Feb 1, 2017 6:36:59 PM PST",6283320351,Order,110-5962522-2601854,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Amazon,SAN ANTONIO,TX,78254-4445,18.99,0,0,0,0,-2.85,-3.02,0,0,13.12
"Feb 1, 2017 7:17:19 PM PST",6283320351,Order,114-6555975-3509043,96-3YGZ-59C7,"GMDdecals Harry Potter Ministry of Magic Bathroom Toilet Vinyl Wall Decor Decals [GLOSSY BLACK/GOLD]- 10"" x 11""-Adhesive High Glossy Vinyl [3mil]Made",1,amazon.com,Amazon,MIDDLEBORO,MA,02346-2064,12.99,0,0,0,0,-1.95,-2.56,0,0,8.48
"Feb 1, 2017 7:21:50 PM PST",6283320351,Order,105-8290247-9305021,ALICEQUOTES-WHT,"GMDdecals Alice In Wonderland Story Book Quote Set Vinyl Stair Decals or Wall Quote Decor Decals [GLOSSY WHITE]- 24"" x 2-4"" per quote -Adhesive High G",1,amazon.com,Amazon,HUDSON,OH,44236-3133,24.99,0,0,0,0,-3.75,-3.02,0,0,18.22
"Feb 1, 2017 9:05:11 PM PST",6283320351,Order,106-3835898-1937852,UNLESS-NVY,UNLESS Dr Seuss Quote Vinyl Wall Decal Lorax Truffula Trees Design [Navy] Chi...,1,amazon.com,Seller,MECHANICSVILLE,VA,23111-6478,16.99,4.5,0,0,0,-3.22,0,0,0,18.27
"Feb 1, 2017 9:05:11 PM PST",6283320351,Order,106-4598771-8214606,17-YU69-0WHA,Nursery Baby Birth Stats Personalized Vinyl Wall Decal Nursery Décor Baby New...,1,amazon.com,Seller,INDIANTOWN,FL,34956-3969,20.99,4.74,0,0,1.8,-3.86,0,-0.05,0,23.62
"Feb 1, 2017 9:05:13 PM PST",6283320351,Order,111-6125916-1598611,LTDKSIRIUS-DKYEL,"GMDdecals ""We've All Got Light and Dark""Inspirational Wizard Potter Sirius Black Quote Decor -Vinyl Wall Decal- [GLOSSY SUNFLOWER]- 24"" x 15""",1,amazon.com,Seller,MURFREESBORO,TN,37129-1819,16.99,4.54,0,0,0,-3.23,0,0,0,18.3
"Feb 1, 2017 9:05:14 PM PST",6283320351,Order,106-1303465-8695419,CI-U396-O8H0,Alice Story Book Quote Set Vinyl Stairs or Wall Decal [Black] Cheshire Cat Qu...,1,amazon.com,Seller,CANOGA PARK,CA,91303-4013,24.99,4.71,0,0,0,-4.46,0,0,0,25.24
