date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Mar 1, 2017 12:42:09 AM PST",6303582401,Order,111-9297229-2211421,ALICEQUOTES-SILPUR,"GMDdecals Alice In Wonderland Story Book Quote Set Vinyl Stair Decals or Wall Quote Decor Decals [GLOSSY PURPLE/SILVER]- 24"" x 2-4"" per quote -Adhesiv",1,amazon.com,Amazon,LAS VEGAS,NV,89143-1133,28.99,0,0,0,0,-4.35,-2.99,0,0,21.65
"Mar 1, 2017 3:25:38 AM PST",6303582401,Order,102-9731152-6444247,CW-VCHI-UFL6,"Alice In Wonderland ""Six Impossible Things Before Breakfast"" FUNKY Vinyl Wall Decal [Purple & White] Cheshire Cat Quote Mad Hatter Storybook Home Déco",1,amazon.com,Seller,CROSSVILLE,TN,38555-1929,16.99,4.52,0,0,0,-3.23,0,0,0,18.28
"Mar 1, 2017 3:25:39 AM PST",6303582401,Order,106-4376108-7189850,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Seller,TEMECULA,CA,92592-1284,16.99,4.54,0,0,0,-3.23,0,0,0,18.3
"Mar 1, 2017 3:25:40 AM PST",6303582401,Order,109-5327387-8772227,DRWHOMIRACLE-NVY,GMDdecals Doctor Dr Big Miracles Quote [NAVY] Vinyl Wall Decal Sonic Screwdriver Who Decor - 28 inches x 12 inchesMade In USA Adhesive High Glossy Vin,1,amazon.com,Seller,Sidney,Ohio,45365,10.99,4.59,0,0,0,-2.34,0,0,0,13.24
"Mar 1, 2017 3:25:41 AM PST",6303582401,Order,102-8159479-2557058,ANYPOSGINNY-PUR,"GMDdecals® Inspirational Wizard Harry Potter Ginny Quidditch Snitch Inspirational Hogwarts Quote Vinyl Wall Decor Decal [GLOSSY BLACK]- 24"" x 12"" -Adh",1,amazon.com,Seller,PENSACOLA,FL,32506-5558,14.99,4.54,0,0,1.37,-2.93,0,-0.04,0,17.93
"Mar 1, 2017 8:00:23 AM PST",6303582401,Order,106-1565749-2358605,DRSQUOTES-MIX,"GMDdecals Dr Seuss Quotes LARGE Assorted Sayings Vinyl Stairs or Wall Decal [GLOSSY GREEN/AQUA/RED/YELLOW]- 24"" wide by 2-4"" tall for EACH quote -Adhe",1,amazon.com,Amazon,Columbus,Ohio,43229,24.99,0,0,0,0,-3.75,-2.99,0,0,18.25
"Mar 1, 2017 11:19:09 AM PST",6303582401,Order,108-9055053-3687410,Q3-VFIZ-UBPY,Alice Story Book Quote Set Vinyl Stairs or Wall Decal [Black] Cheshire Cat Qu...,1,amazon.com,Amazon,Howard Beach,NY,11414-2121,28.99,0,0,0,0,-4.35,-2.99,0,0,21.65
"Mar 1, 2017 11:47:00 AM PST",6303582401,Order,116-3365604-6865046,LOVECOFFEE-BRW,"GMDdecals® Love and Coffee Inspired Quote Décor Wall Decal [BROWN]- 12"" x 24"" - Adhesive High Glossy Vinyl **Made In USA** (Suggested: Home Welcome Ho",1,amazon.com,Amazon,HARRISBURG,PA,17110-1041,16.99,3.47,0,0,0,-2.55,-6.46,0,0,11.45
"Mar 1, 2017 1:12:28 PM PST",6303582401,Order,104-0913914-9583423,BQ-X7JH-BJSL,Movie Quote Set LARGE Assorted Sayings Vinyl Stairs or Wall Decal [BLACK] Film Cinema Classic Famous Inspiring Home Décor Welcome Housewarming Wedding,1,amazon.com,Amazon,LAKE ELSINORE,CA,92530-7815,24.99,6.7,0,0,0,-3.75,-9.69,0,0,18.25
"Mar 1, 2017 2:14:17 PM PST",6303582401,Order,112-1705779-0693857,ROOMBKS-BLK,"GMDdecals® ""Room Without Books"" Cicero Quote Vinyl Wall Decor Decals [GLOSSY BLACK]- 24 inches x 12 inches -Adhesive High Glossy Vinyl [3mil] **Made I",1,amazon.com,Amazon,SAINT PAUL,MN,55102-2622,14.99,0,0,0,0,-2.25,-2.99,0,0,9.75
"Mar 1, 2017 3:06:21 PM PST",6303582401,Order,112-6332465-8949844,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Amazon,Lake Ronkonkoma,NY,11779-3154,16.99,0.87,0,-0.87,0,-2.55,-2.99,0,0,11.45
"Mar 1, 2017 6:28:12 PM PST",6303582401,Order,102-6709411-5657005,MN-GF43-S4B7,Good and Perfect Gift From Above James 1:17 Scripture Vinyl Wall Decal Nursery Décor Baby Newborn Child Bedroom,1,amazon.com,Amazon,OKLAHOMA CITY,OK,73170-7106,16.99,0,0,0,0,-2.55,-2.99,0,0,11.45
"Mar 1, 2017 9:00:41 PM PST",6303582401,Order,111-4304264-5169010,6B-1I40-D1SR,Personalized Good and Perfect Gift From Above Vinyl Wall Decal Name Initial J...,1,amazon.com,Seller,HAVELOCK,NC,28532-2404,16.99,4.49,0,0,0,-3.22,0,0,0,18.26
"Mar 1, 2017 9:00:43 PM PST",6303582401,Order,102-2640203-4944257,6B-1I40-D1SR,Personalized Good and Perfect Gift From Above Vinyl Wall Decal Name Initial J...,1,amazon.com,Seller,RICHLANDS,NC,28574-8476,16.99,4.49,0,0,0,-3.22,0,0,0,18.26
"Mar 1, 2017 9:00:44 PM PST",6303582401,Order,113-6745251-5985834,LOVECOFFEE-TUR,"Love and Coffee Inspried Quote Décor Wall Decal [TURQUOISE]- 12Inches x 24 Inches - Adhesive Glossy Vinyl [3mil] Easy Application, Made In USA with He",1,amazon.com,Seller,MONROE,LA,71202-5015,14.99,4.54,0,0,0,-2.93,0,0,0,16.6
"Mar 1, 2017 9:00:45 PM PST",6303582401,Order,002-1355418-5424223,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Seller,North Augusta,SC,29861,16.99,4.54,0,0,0,-3.23,0,0,0,18.3
"Mar 1, 2017 9:00:46 PM PST",6303582401,Order,116-4869072-8773827,SN-31GR-ZWSC,Movie Quote Set LARGE Assorted Sayings Vinyl Stairs or Wall Decal [BLACK] Film Cinema Classic Famous Inspiring Home Décor Welcome Housewarming Wedding,1,amazon.com,Seller,PALMYRA,VA,22963-2815,24.99,4.64,0,0,0,-4.44,0,0,0,25.19
"Mar 1, 2017 9:00:46 PM PST",6303582401,Order,109-2837743-2857857,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Seller,TEMPERANCE,MI,48182-9424,16.99,4.54,0,0,0,-3.23,0,0,0,18.3
"Mar 1, 2017 9:00:47 PM PST",6303582401,Order,115-1285425-9637061,FD-9IM5-GNCI,Ladder of Hope and Dreams Wall Decal Inspiring Home Décor Welcome Housewarmin...,1,amazon.com,Seller,HAYWARD,CA,94541-4004,18.99,4.5,0,0,0,-3.52,0,0,0,19.97
"Mar 1, 2017 9:00:49 PM PST",6303582401,Order,107-6748825-5001840,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Seller,BEVERLY HILLS,CA,90210-3624,16.99,4.54,0,0,0,-3.23,0,0,0,18.3
"Mar 1, 2017 9:00:49 PM PST",6303582401,Order,111-3338773-7077860,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Seller,GAINESVILLE,FL,32605-5061,16.99,4.54,0,0,1.51,-3.23,0,-0.04,0,19.77
"Mar 1, 2017 9:00:49 PM PST",6303582401,Order,106-0841943-6352225,CI-U396-O8H0,Alice Story Book Quote Set Vinyl Stairs or Wall Decal [Black] Cheshire Cat Qu...,1,amazon.com,Seller,CHATTANOOGA,TN,37421-4654,24.99,4.71,0,0,0,-4.46,0,0,0,25.24
"Mar 1, 2017 9:00:50 PM PST",6303582401,Order,113-0109304-4015402,UM-VV99-W3II,John 15:5 'I am the vine' Bible Scripture Wall Decal [Turquoise & Grey] Scripture Christian Home Décor Welcome Housewarming Wedding Anniversary Birthd,1,amazon.com,Seller,WEST BABYLON,NY,11704-6425,14.99,4.5,0,0,0,-2.92,0,0,0,16.57
"Mar 1, 2017 9:00:51 PM PST",6303582401,Order,111-2424473-4700244,3K-NGUM-3UXH,Princess Aurora Quote Vinyl Wall Decal Sleeping Beauty Once Upon A Dream Design Girl Girls Bedroom Princesses Name Birthday Gift,1,amazon.com,Seller,MILLINGTON,TN,38053-8931,16.99,4.56,0,0,0,-3.23,0,0,0,18.32
"Mar 1, 2017 9:00:51 PM PST",6303582401,Order,115-2451443-0625058,DMBLDR-DKYEL,Dumbledore Harry Potter Inspirational Quote Vinyl Wall Decal Hogwarts [DK YELLOW],1,amazon.com,Seller,SIOUX FALLS,SD,57105-0746,16.99,4.59,0,0,0,-3.24,0,0,0,18.34
"Mar 1, 2017 9:00:51 PM PST",6303582401,Order,112-7338943-9904212,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Seller,SAN ANTONIO,TX,78230-4915,16.99,4.54,0,0,0,-3.23,0,0,0,18.3
"Mar 1, 2017 9:00:52 PM PST",6303582401,Order,112-0586340-5234645,TY-G6HM-37AR,Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift,1,amazon.com,Seller,Albuquerque,NM,87113,32.99,4.79,0,0,0,-5.67,0,0,0,32.11
"Mar 1, 2017 9:00:54 PM PST",6303582401,Order,107-0692974-7542667,LOVEANCHOR-BLKBRW,Love Is the Anchor Quote Vinyl Wall Decal [Black & Brown] Inspiring Home Déco...,1,amazon.com,Seller,NEW YORK,NY,10025-4203,16.99,4.59,0,0,0,-3.24,0,0,0,18.34
"Mar 1, 2017 9:00:54 PM PST",6303582401,Order,108-1189121-2881054,C0-LVMK-Y8ST,GMDdecals® UNLESS Dr Seuss Quote Vinyl Wall Decal Lorax Truffula Trees Design Vinyl Quote Decor Wall Decal [GLOSSY BLACK]- 28 inches x 12 inches -Adhe,1,amazon.com,Seller,MILL CREEK,WA,98012-5568,16.99,4.57,0,0,0,-3.23,0,0,0,18.33
"Mar 1, 2017 9:00:55 PM PST",6303582401,Order,002-2817112-4551404,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Seller,MANNSVILLE,NY,13661-3210,16.99,4.54,0,0,0,-3.23,0,0,0,18.3
"Mar 1, 2017 9:00:56 PM PST",6303582401,Order,111-6188733-3715443,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Seller,Springdale,pa,15144,16.99,4.54,0,0,0,-3.23,0,0,0,18.3
"Mar 1, 2017 9:00:57 PM PST",6303582401,Order,002-2343787-7845056,TRUFFULATREESET5,Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift,1,amazon.com,Seller,KNOXVILLE,TN,37912-2650,32.99,4.79,0,0,0,-5.67,0,0,0,32.11
"Mar 1, 2017 11:00:46 PM PST",6304546301,Order,111-5889668-6566638,ANYPOSGINNY-BLK,"GMDdecals® Inspirational WizardHarry Potter Ginny Quidditch Snitch Inspirational Hogwarts Quote Vinyl Wall Decor Decal [GLOSSY BLACK]- 24"" x 12"" -Adhe",1,amazon.com,Amazon,ROUND ROCK,TEXAS,78681-1024,16.99,0,0,0,0,-2.55,-2.41,0,0,12.03
"Mar 2, 2017 12:32:49 AM PST",6304546301,Order,115-2968769-7945812,LOVEPATIENT-WHT,"GMDdecals Love Is Patient, Love Is Kind, Love Never Fails Inspirational  Quote Vinyl Wall  Decor Decal [GLOSSY WHITE]- 30 inches x 15 inches -Adhesive",1,amazon.com,Amazon,BROOKLYN,NY,11229-5727,14.99,6.62,0,0,0,-2.25,-9.61,0,0,9.75
"Mar 2, 2017 1:19:35 AM PST",6304546301,Order,113-1834099-0914601,LevioSA-SIL,"GMDdecals Inspirational Wizard Hermione Harry Potter LevioSA Spell Inspirational Hogwarts Quote Vinyl Wall Decor Decal [GLOSSY SILVER]- 28"" x 12"" -Adh",1,amazon.com,Amazon,SANTA MONICA,CA,90403-3321,16.99,0,0,0,0,-2.55,-2.99,0,0,11.45
"Mar 2, 2017 3:02:50 AM PST",6304546301,Transfer,,,"To your account ending in: 9429, Federal ACH Trace ID: 091000012788193",,,,,,,0,0,0,0,0,0,0,0,-508.6,-508.6
"Mar 2, 2017 6:45:32 AM PST",6304546301,Order,002-9398776-1438664,DRWHOBOOKS-BLK,GMDdecals Who Doctor Dr Books are Weapons Quote [BLACK] Vinyl Wall Decal Library Reading Decor - 30 inches x 12 inchesMade In USA Adhesive High Glossy,1,amazon.com,Seller,STAFFORD,VA,22556-3757,16.99,4.59,0,0,0,-3.24,0,0,0,18.34
"Mar 2, 2017 11:45:25 AM PST",6304546301,Order,112-9469454-5792202,BQ-X7JH-BJSL,Movie Quote Set LARGE Assorted Sayings Vinyl Stairs or Wall Decal [BLACK] Film Cinema Classic Famous Inspiring Home Décor Welcome Housewarming Wedding,1,amazon.com,Amazon,ASTORIA,NY,11105,28.99,0,0,0,0,-4.35,-2.99,0,0,21.65
"Mar 2, 2017 4:20:17 PM PST",6304546301,Order,114-0672660-2558665,SRNTYWIDE-WHT,Serenity Prayer Wide Bible Scripture Quote Vinyl Wall Decal [White] Bible Scripture Home Décor Welcome Housewarming Wedding Anniversary Birthday Gift,1,amazon.com,Amazon,SUFFOLK,VA,23434-4061,16.99,0,0,0,0,-2.55,-2.99,0,0,11.45
"Mar 2, 2017 7:00:57 PM PST",6304546301,Order,105-5148902-5208204,LOVECOFFEE-BRW,"GMDdecals® Love and Coffee Inspired Quote Décor Wall Decal [BROWN]- 12"" x 24"" - Adhesive High Glossy Vinyl **Made In USA** (Suggested: Home Welcome Ho",1,amazon.com,Amazon,TRENTON,NJ,08609-1427,16.99,1.82,0,-1.82,0,-2.55,-2.99,0,0,11.45
"Mar 2, 2017 10:16:59 PM PST",6304546301,Order,113-0337043-9407411,Q3-VFIZ-UBPY,Alice Story Book Quote Set Vinyl Stairs or Wall Decal [Black] Cheshire Cat Qu...,1,amazon.com,Amazon,EAGLE MOUNTAIN,UT,84005-2100,28.99,0,0,0,0,-4.35,-2.99,0,0,21.65
"Mar 3, 2017 3:04:46 AM PST",6304546301,Transfer,,,"To your account ending in: 9429, Federal ACH Trace ID: 091000013860843",,,,,,,0,0,0,0,0,0,0,0,-783.38,-783.38
"Mar 3, 2017 10:02:47 AM PST",6304546301,Order,106-6644618-5725805,0Z-0D15-Y80E,Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift,1,amazon.com,Amazon,FARMINGTON,MN,55024-8756,34.99,0,0,0,0,-5.25,-2.99,0,0,26.75
"Mar 3, 2017 10:50:21 AM PST",6304546301,Service Fee,,,Cost of Advertising,,,,,,,0,0,0,0,0,0,0,-235.63,0,-235.63
"Mar 3, 2017 12:23:47 PM PST",6304546301,Order,112-3262339-4991465,96-3YGZ-59C7,"GMDdecals Harry Potter Ministry of Magic Bathroom Toilet Vinyl Wall Decor Decals [GLOSSY BLACK/GOLD]- 10"" x 11""-Adhesive High Glossy Vinyl [3mil]Made",1,amazon.com,Amazon,ANAHEIM,CA,92806-5300,12.99,0,0,0,0,-1.95,-2.41,0,0,8.63
