date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"May 1, 2017 5:37:45 AM PDT",6346972441,Order,111-5638894-8365866,58-P5NK-DFU6,"GMDdecals Dr Seuss Quotes LARGE Assorted Sayings Vinyl Stairs or Wall Decal [GLOSSY BLACK]- 24"" wide by 2-4"" tall for EACH quote -Adhesive High Glossy",1,amazon.com,Amazon,SHEPHERDSVILLE,KY,40165-8688,32,0,0,0,0,-4.8,-2.99,0,0,24.21
"May 1, 2017 7:28:34 AM PDT",6346972441,Order,114-7338302-7280263,JAMES117-PNK,Good and Perfect Gift From Above James 1:17 Scripture Vinyl Wall Decal [Pink] Nursery Décor Baby Newborn Child Bedroom,1,amazon.com,Amazon,GRAND RAPIDS,MI,49534-3585,16.99,0,0,0,0,-2.55,-2.99,0,0,11.45
"May 1, 2017 8:28:31 AM PDT",6346972441,Order,111-5511624-2632258,LevioSA-SIL,"GMDdecals Inspirational Wizard Hermione Harry Potter LevioSA Spell Inspirational Hogwarts Quote Vinyl Wall Decor Decal [GLOSSY SILVER]- 28"" x 12"" -Adh",1,amazon.com,Amazon,COLORADO SPRINGS,COLORADO,80921-4005,16,0,0,0,0,-2.4,-2.99,0,0,10.61
"May 1, 2017 2:23:20 PM PDT",6346972441,Order,112-4346983-1508209,LevioSA-BLK,"GMDdecals Inspirational Wizard Hermione Harry Potter LevioSA Spell Inspirational Hogwarts Quote Vinyl Wall Decor Decal [GLOSSY BLACK]- 28"" x 12"" -Adhe",1,amazon.com,Amazon,Rochester,NY,14610,16,0,0,0,0,-2.4,-2.99,0,0,10.61
"May 1, 2017 3:09:46 PM PDT",6346972441,Order,111-8515664-4437057,HPQUOTESET-BLK,ONEliners Collection by GMDdecals - Magic Potter Wizard Set - Vinyl Wall/Stairs Decals [BLACK] Harry Dumbledore Sirius,1,amazon.com,Amazon,Sanford,FL,32771,32,0,0,0,2.24,-4.8,-2.99,-0.07,0,26.38
"May 1, 2017 3:32:32 PM PDT",6346972441,Order,113-2358004-5673853,0Z-0D15-Y80E,Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift,1,amazon.com,Amazon,Middletown,CT,6457,38,5.44,0,-5.44,0,-5.7,-2.99,0,0,29.31
"May 1, 2017 3:45:32 PM PDT",6346972441,Order,114-3023167-5325851,LTDKSIRIUS-BLK,"GMDdecals ""We've All Got Light and Dark"" Inspirational Wizard Potter Sirius Black Quote -Vinyl Wall Decal Decor- [GLOSSY BLACK]- 24"" x 15""",1,amazon.com,Amazon,LITTLETON,CO,80123-3636,18,3.82,0,-3.82,0,-2.7,-2.99,0,0,12.31
"May 1, 2017 4:28:40 PM PDT",6346972441,Order,113-5932589-6441024,HPMM-FORSIL,"GMDdecals Harry Potter Ministry of Magic Bathroom Toilet Vinyl Wall Decor Decals [GLOSSY FOREST/SILVER]- 10"" x 11""-Adhesive High Glossy Vinyl [3mil]Ma",1,amazon.com,Amazon,Salem,OR,97304,12.99,0,0,0,0,-1.95,-2.41,0,0,8.63
"May 1, 2017 4:33:58 PM PDT",6346972441,Order,112-4578644-6452267,HAGRID-WHT,GMDdecals Inspirational Wizard Hagrid Harry Potter Inspirational Vinyl Wall Quote Decor Decals [GLOSSY WHITE]- 24 inches x 15 inches -Adhesive High Gl,1,amazon.com,Amazon,SAN DIEGO,CA,92128-4449,16,0,0,0,0,-2.4,-2.99,0,0,10.61
"May 1, 2017 5:44:13 PM PDT",6346972441,Order,111-2413609-9220261,JAMES117-PNK,Good and Perfect Gift From Above James 1:17 Scripture Vinyl Wall Decal [Pink] Nursery Décor Baby Newborn Child Bedroom,1,amazon.com,Amazon,LAWRENCEVILLE,GA,30045-2259,16.99,0,0,0,0,-2.55,-2.99,0,0,11.45
