date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,Marketplace Facilitator Tax,selling fees,fba fees,other transaction fees,other,total
"Nov 1, 2017 12:01:14 AM PDT",6488147221,Order,114-6971529-5192206,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,CAMPBELLSBURG,INDIANA,47108-6392,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Nov 1, 2017 12:01:57 AM PDT",6488147221,Order,111-5400792-8529847,ALICEQUOTES-BLK,"Alice In Wonderland Story Book Quote Set Vinyl Stair or Wall Decals [BLACK] by GMDdecals 24"" x 2-4"" per quote Cheshire Mad Hatter Storybook Décor",1,amazon.com,Amazon,eagan,mn,55122,36,0,0,0,0,0,-5.4,-2.88,0,0,27.72
"Nov 1, 2017 12:16:34 AM PDT",6488147221,Order,113-8991206-3496267,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,HAWTHORN WDS,IL,60047-7543,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Nov 1, 2017 2:18:31 AM PDT",6488147221,Order,112-7085939-1201044,LOVECOFFEE-MAR,"GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [MAROON] - 12"" x 24"" - Adhesive High Glossy Vinyl [3mil]Made In USA (Home Welcome Housewarmi",1,amazon.com,Amazon,FORT DODGE,IA,50501-3367,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 1, 2017 10:01:18 AM PDT",6488147221,Order,113-8196300-1001008,58-P5NK-DFU6,"Dr Seuss Inspired Quote Assorted Set Vinyl Stair or Wall Decal [BLACK] by GMDdecals 24"" wide by 2-4"" tall per quote Lorax Cat in the Hat Storybook Dec",1,amazon.com,Amazon,CARLETON,MI,48117-9116,36,0,0,0,0,0,-5.4,-2.88,0,0,27.72
"Nov 1, 2017 11:02:58 AM PDT",6488147221,Transfer,,,To account ending with: 531,,,,,,,0,0,0,0,0,0,0,0,0,-472.96,-472.96
"Nov 1, 2017 1:12:44 PM PDT",6488147221,Order,111-3060380-9033819,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,Bakersfield,CA,93314-5812,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Nov 1, 2017 1:32:12 PM PDT",6488147221,Order,114-8789625-4402633,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,TAUNTON,MA,02780-4750,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Nov 1, 2017 2:20:23 PM PDT",6488147221,Refund,112-7445351-3782644,HPSPELLS3-BLK,ONEliners Collection by GMDdecals - Potter Wizard Spells Quote DOUBLE SET [BLACK] Harry Dumbledore Fantastic,1,amazon.com,Amazon,BALLWIN,MO,63021-8078,0,0,0,0,0,0,0,0,0,-3.33,-3.33
"Nov 1, 2017 3:15:34 PM PDT",6488147221,Refund,113-6611394-5723458,5PAK-BLK,Harry Potter Quote Series Quote 5 Pack Color Black,1,amazon.com,Amazon,MIDDLETOWN,NJ,07748-3032,-60,0,0,0,0,0,7.2,0,0,0,-52.8
