date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,Marketplace Facilitator Tax,selling fees,fba fees,other transaction fees,other,total
"Oct 1, 2017 12:04:32 AM PDT",6463733581,Order,111-7084434-3929031,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,Arundel,ME,4046,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Oct 1, 2017 12:41:42 AM PDT",6463733581,Order,111-6815029-3816229,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,ORLAND PARK,IL,60467-8242,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Oct 1, 2017 2:44:45 AM PDT",6463733581,Adjustment,112-9562872-1085829,LTDKSIRIUS-BLK,FBA Inventory Reimbursement - Customer Return,1,,,,,,0,0,0,0,0,0,0,0,0,12.42,12.42
"Oct 1, 2017 3:44:45 AM PDT",6463733581,Order,113-5343316-4632221,BQ-X7JH-BJSL,Movie Quote Set LARGE Assorted Sayings Vinyl Stairs or Wall Decal [BLACK] Film Cinema Classic Famous Inspiring Home Décor Welcome Housewarming Wedding,1,amazon.com,Amazon,Seattle,WA,98116,36,0,0,0,0,0,-5.4,-2.88,0,0,27.72
"Oct 1, 2017 6:04:44 AM PDT",6463733581,Transfer,,,"To your account ending in: 531, Federal ACH Trace ID: 091000013895530",,,,,,,0,0,0,0,0,0,0,0,0,-952.72,-952.72
"Oct 1, 2017 7:10:12 AM PDT",6463733581,Order,111-8309363-1793023,DRWHOBOOKS-BLK,"DW Inspired Books are Weapons Quote [BLACK] Vinyl Wall Decal by GMDdecals 30"" x 12"" Dr Doctor inspirational Who Fandom Library Reading Gift Decor",1,amazon.com,Amazon,Beacon Falls,CT,6403,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Oct 1, 2017 11:06:05 AM PDT",6463733581,Order,114-8323495-4509810,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,WINTER GARDEN,FL,34787-8750,20,0,0,0,1.4,0,-3,-2.88,-0.04,0,15.48
"Oct 1, 2017 12:48:19 PM PDT",6463733581,Order,112-3660717-7445857,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,milton,Florida,32571,20,0,0,0,1.4,0,-3,-2.88,-0.04,0,15.48
"Oct 1, 2017 2:54:42 PM PDT",6463733581,Order,114-5078737-6452269,ALICEQUOTES-BLK,"Alice In Wonderland Story Book Quote Set Vinyl Stair or Wall Decals [BLACK] by GMDdecals 24"" x 2-4"" per quote Cheshire Mad Hatter Storybook Décor",1,amazon.com,Amazon,MATAWAN,NJ,07747-2276,36,5.31,0,-5.31,0,0,-5.4,-2.88,0,0,27.72
"Oct 1, 2017 3:49:33 PM PDT",6463733581,Order,111-1765856-3793861,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,CANAL FULTON,OHIO,44614-8174,20,0.52,0,-0.52,0,0,-3,-2.88,0,0,14.12
"Oct 1, 2017 3:51:37 PM PDT",6463733581,Order,112-9294283-6897031,WIZOZSET-BLK,Wizard of Oz Assorted Quotes Set [BLACK] Vinyl Stairs or Wall Decal by GMDdecals Dorothy Baum Room Party Housewarming Gift Home Decor,1,amazon.com,Amazon,SPRING,TX,77386-4395,36,0,0,0,0,0,-5.4,-2.88,0,0,27.72
"Oct 1, 2017 5:43:54 PM PDT",6463733581,Order,111-9737283-7360232,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,RANCHO CUCAMONGA,CA,91701-8646,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Oct 1, 2017 6:20:08 PM PDT",6463733581,Order,114-6682303-7966668,DRWHOBOWTIE-BLK,"DW Inspired Hope and Dream Bow Tie Quote [BLACK] Vinyl Wall Decal by GMDdecals 24"" x 12"" Dr Doctor Inspirational Who Screwdriver Fandom Library Decor",1,amazon.com,Amazon,Pittsburg,Kansas,66762,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Oct 1, 2017 8:24:09 PM PDT",6463733581,Order,113-0412019-9911415,ALICEQUOTES-BLK,"Alice In Wonderland Story Book Quote Set Vinyl Stair or Wall Decals [BLACK] by GMDdecals 24"" x 2-4"" per quote Cheshire Mad Hatter Storybook Décor",1,amazon.com,Amazon,LONG BEACH,NY,11561-3523,36,0,0,0,0,0,-5.4,-2.88,0,0,27.72
"Oct 1, 2017 10:13:14 PM PDT",6463733581,Order,113-1778575-6609028,HPQUOTESET-BLK,"Hogwarts Set of 12 Quotes Harry Potter Inspired Vinyl Wall or Stairs Decals [BLACK] by GMDdecals Dumbledore Sirius Wizard Decor Size 24"" x 2-4"" per qu",1,amazon.com,Amazon,SHIPPENSBURG,PENNSYLVANIA,17257-8258,36,0,0,0,0,0,-5.4,-2.88,0,0,27.72
"Oct 1, 2017 10:14:43 PM PDT",6463733581,Order,113-5065801-8052257,HPQUOTESET-BLK,"Hogwarts Set of 12 Quotes Harry Potter Inspired Vinyl Wall or Stairs Decals [BLACK] by GMDdecals Dumbledore Sirius Wizard Decor Size 24"" x 2-4"" per qu",1,amazon.com,Amazon,SACRAMENTO,CA,95816-7025,36,0,0,0,0,0,-5.4,-2.88,0,0,27.72
